Representive Gene model,Sorghum homologs ID,Gene ID.1,Gene ID.2,Gene ID.3,Gene ID.4
Sspon.05G0005940,Sobic.006G167700,Sspon.05G0005940-1A,,Sspon.05G0005940-2C,
Sspon.05G0005950,Sobic.006G167600,Sspon.05G0005950-1A,,Sspon.05G0005950-2C,Sspon.05G0005950-3D
Sspon.05G0005960,Sobic.006G167500,Sspon.05G0005960-1A,Sspon.05G0005960-2B,Sspon.05G0005960-3C,Sspon.05G0005960-4D
Sspon.05G0005970,Sobic.006G167300,Sspon.05G0005970-1A,Sspon.05G0005970-2B,Sspon.05G0005970-3C,Sspon.05G0005970-4D
Sspon.05G0005980,Sobic.004G298300,Sspon.05G0005980-1A,Sspon.05G0005980-2B|Sspon.05G0005980-1P,Sspon.05G0005980-3C|Sspon.05G0005980-2P,Sspon.05G0005980-4D
Sspon.05G0005990,Sobic.006G166500,Sspon.05G0005990-1A|Sspon.05G0005990-1P,Sspon.05G0005990-2B,Sspon.05G0005990-3C,
Sspon.05G0006000,Sobic.006G166601,Sspon.05G0006000-1A,,Sspon.05G0006000-2C,
Sspon.05G0006010,Sobic.006G166700,Sspon.05G0006010-1A|Sspon.05G0006010-1P,,Sspon.05G0006010-2C,Sspon.05G0006010-3D
Sspon.05G0006020,Sobic.006G166200,Sspon.05G0006020-1A|Sspon.05G0006020-1P,Sspon.05G0006020-2B,Sspon.05G0006020-3C,Sspon.05G0006020-4D
Sspon.05G0006030,Sobic.004G298500,Sspon.05G0006030-1A|Sspon.05G0006030-1P,Sspon.05G0006030-2B,Sspon.05G0006030-3C|Sspon.05G0006030-2P,Sspon.05G0006030-4D
Sspon.05G0006040,,Sspon.05G0006040-1A,,,
Sspon.05G0006050,Sobic.006G165400,Sspon.05G0006050-1A,Sspon.05G0006050-2B,,Sspon.05G0006050-3D
Sspon.05G0006060,Sobic.006G165300,Sspon.05G0006060-1A,Sspon.05G0006060-2B,,
Sspon.05G0006070,Sobic.006G165200,Sspon.05G0006070-1A,,Sspon.05G0006070-2C,Sspon.05G0006070-3D
Sspon.05G0006080,Sobic.006G166800,Sspon.05G0006080-1A|Sspon.05G0006080-1P,,Sspon.05G0006080-2C,
Sspon.05G0006090,Sobic.006G166900,Sspon.05G0006090-1A,Sspon.05G0006090-2B,Sspon.05G0006090-3C|Sspon.05G0006090-1T,Sspon.05G0006090-4D
Sspon.05G0006100,,Sspon.05G0006100-1A,,,
Sspon.05G0006110,Sobic.006G163600,Sspon.05G0006110-1A,,Sspon.05G0006110-2C,
Sspon.05G0006120,Sobic.004G299300,Sspon.05G0006120-1A,Sspon.05G0006120-2B,Sspon.05G0006120-3C|Sspon.05G0006120-1P,Sspon.05G0006120-4D|Sspon.05G0006120-2P
Sspon.05G0006130,Sobic.006G164400,Sspon.05G0006130-1A,Sspon.05G0006130-2B|Sspon.05G0006130-1T,Sspon.05G0006130-3C,Sspon.05G0006130-4D
Sspon.05G0006140,Sobic.004G299700,Sspon.05G0006140-1A|Sspon.05G0006140-1P,Sspon.05G0006140-2B,Sspon.05G0006140-3C,Sspon.05G0006140-4D|Sspon.05G0006140-2P
Sspon.05G0006150,Sobic.006G164200,Sspon.05G0006150-1A,Sspon.05G0006150-2B,Sspon.05G0006150-3C|Sspon.05G0006150-1P|Sspon.05G0006150-2P,Sspon.05G0006150-4D
Sspon.05G0006160,Sobic.006G164000,Sspon.05G0006160-1A,Sspon.05G0006160-2B,Sspon.05G0006160-3C,Sspon.05G0006160-4D
Sspon.05G0006170,Sobic.006G163200,Sspon.05G0006170-1A,Sspon.05G0006170-2B,Sspon.05G0006170-3C|Sspon.05G0006170-1P|Sspon.05G0006170-2P,Sspon.05G0006170-4D
Sspon.05G0006180,,Sspon.05G0006180-1A,Sspon.05G0006180-2B,,
Sspon.05G0006190,,Sspon.05G0006190-1A,,,
Sspon.05G0006200,,Sspon.05G0006200-1A,,,
Sspon.05G0006210,Sobic.006G163000,Sspon.05G0006210-1A,Sspon.05G0006210-2B,Sspon.05G0006210-3C,Sspon.05G0006210-4D
Sspon.05G0006220,,Sspon.05G0006220-1A,,Sspon.05G0006220-2C,
Sspon.05G0006230,Sobic.006G162400,Sspon.05G0006230-1A,,Sspon.05G0006230-2C,Sspon.05G0006230-3D
Sspon.05G0006240,,Sspon.05G0006240-1A,,,
Sspon.05G0006250,Sobic.006G162200,Sspon.05G0006250-1A,Sspon.05G0006250-2B,Sspon.05G0006250-3C,
Sspon.05G0006260,,Sspon.05G0006260-1A,,,
Sspon.05G0006270,Sobic.006G161500,Sspon.05G0006270-1A,Sspon.05G0006270-2B,Sspon.05G0006270-3C,Sspon.05G0006270-4D
Sspon.05G0006280,Sobic.006G161000,Sspon.05G0006280-1A|Sspon.05G0006280-1P,Sspon.05G0006280-2B,Sspon.05G0006280-3C|Sspon.05G0006280-2P,Sspon.05G0006280-4D
Sspon.05G0006290,Sobic.006G160900,Sspon.05G0006290-1A,Sspon.05G0006290-2B,Sspon.05G0006290-3C,Sspon.05G0006290-4D
Sspon.05G0006300,Sobic.004G302700,Sspon.05G0006300-1A|Sspon.05G0006300-1P,Sspon.05G0006300-2B|Sspon.05G0006300-2P,Sspon.05G0006300-3C,Sspon.05G0006300-4D|Sspon.05G0006300-3P
Sspon.05G0006310,Sobic.006G160700,Sspon.05G0006310-1A,Sspon.05G0006310-2B,Sspon.05G0006310-3C,Sspon.05G0006310-4D
Sspon.05G0006320,Sobic.006G160600,Sspon.05G0006320-1A,Sspon.05G0006320-2B,Sspon.05G0006320-3C,Sspon.05G0006320-4D
Sspon.05G0006330,Sobic.006G160400,Sspon.05G0006330-1A,Sspon.05G0006330-2B,,Sspon.05G0006330-3D|Sspon.05G0006330-1P
Sspon.05G0006340,Sobic.006G160200,Sspon.05G0006340-1A,Sspon.05G0006340-2B,,
Sspon.05G0006350,Sobic.006G160100,Sspon.05G0006350-1A,,,Sspon.05G0006350-2D|Sspon.05G0006350-1T
Sspon.05G0006360,Sobic.006G160000,Sspon.05G0006360-1A,Sspon.05G0006360-2B,,Sspon.05G0006360-3D
Sspon.05G0006370,,Sspon.05G0006370-1A,,,
Sspon.05G0006380,Sobic.006G159800,Sspon.05G0006380-1A,Sspon.05G0006380-2B,Sspon.05G0006380-3C,
Sspon.05G0006390,,Sspon.05G0006390-1A,,Sspon.05G0006390-2C,Sspon.05G0006390-3D
Sspon.05G0006400,Sobic.006G159500,Sspon.05G0006400-1A,,,Sspon.05G0006400-2D
Sspon.05G0006410,,Sspon.05G0006410-1A,,,
Sspon.05G0006420,Sobic.006G161200,Sspon.05G0006420-1A,Sspon.05G0006420-2B,Sspon.05G0006420-3C,
Sspon.05G0006430,Sobic.006G161300,Sspon.05G0006430-1A,Sspon.05G0006430-2B,Sspon.05G0006430-3C,
Sspon.05G0006440,,Sspon.05G0006440-1A,,,
Sspon.05G0006450,Sobic.006G159300,Sspon.05G0006450-1A,Sspon.05G0006450-2B|Sspon.05G0006450-1P,Sspon.05G0006450-3C,Sspon.05G0006450-4D
Sspon.05G0006460,,Sspon.05G0006460-1A,Sspon.05G0006460-2B,,Sspon.05G0006460-3D
Sspon.05G0006470,Sobic.006G158332,Sspon.05G0006470-1A,Sspon.05G0006470-2B,Sspon.05G0006470-3C|Sspon.05G0006470-1P,Sspon.05G0006470-4D
Sspon.05G0006480,Sobic.006G158200,Sspon.05G0006480-1A,Sspon.05G0006480-2B,Sspon.05G0006480-3C,Sspon.05G0006480-4D
Sspon.05G0006490,Sobic.006G157100,Sspon.05G0006490-1A,Sspon.05G0006490-2B,Sspon.05G0006490-3C,Sspon.05G0006490-4D
Sspon.05G0006500,Sobic.006G157200,Sspon.05G0006500-1A|Sspon.05G0006500-1P,,,
Sspon.05G0006510,Sobic.006G157300,Sspon.05G0006510-1A,Sspon.05G0006510-2B,Sspon.05G0006510-3C,Sspon.05G0006510-4D
Sspon.05G0006520,Sobic.001G168000,Sspon.05G0006520-1A,,Sspon.05G0006520-2C,Sspon.05G0006520-3D
Sspon.05G0006530,Sobic.006G157400,Sspon.05G0006530-1A|Sspon.05G0006530-1P,Sspon.05G0006530-2B|Sspon.05G0006530-2P,Sspon.05G0006530-3C,Sspon.05G0006530-4D
Sspon.05G0006540,Sobic.006G157500,Sspon.05G0006540-1A,Sspon.05G0006540-2B,Sspon.05G0006540-3C,Sspon.05G0006540-4D
Sspon.05G0006550,Sobic.006G157700,Sspon.05G0006550-1A,Sspon.05G0006550-2B,Sspon.05G0006550-3C,Sspon.05G0006550-4D
Sspon.05G0006560,Sobic.006G157800,Sspon.05G0006560-1A,,,Sspon.05G0006560-2D
Sspon.05G0006570,Sobic.004G228300,Sspon.05G0006570-1A,Sspon.05G0006570-2B|Sspon.05G0006570-1P,Sspon.05G0006570-3C,Sspon.05G0006570-4D
Sspon.05G0006580,Sobic.006G158100,Sspon.05G0006580-1A,Sspon.05G0006580-2B,Sspon.05G0006580-3C,Sspon.05G0006580-4D
Sspon.05G0006590,Sobic.006G158400,Sspon.05G0006590-1A,Sspon.05G0006590-2B|Sspon.05G0006590-1P,Sspon.05G0006590-3C,
Sspon.05G0006600,,Sspon.05G0006600-1A,,,Sspon.05G0006600-2D
Sspon.05G0006610,,Sspon.05G0006610-1A,,,
Sspon.05G0006620,,Sspon.05G0006620-1A,,,
Sspon.05G0006630,Sobic.006G158900,Sspon.05G0006630-1A,Sspon.05G0006630-2B,,
Sspon.05G0006640,,Sspon.05G0006640-1A,,,
Sspon.05G0006650,,Sspon.05G0006650-1A,,,
Sspon.05G0006660,Sobic.006G156600,Sspon.05G0006660-1A,Sspon.05G0006660-2B,,
Sspon.05G0006670,,Sspon.05G0006670-1A,,,
Sspon.05G0006680,,Sspon.05G0006680-1A,,,
Sspon.05G0006690,Sobic.006G156000,Sspon.05G0006690-1A,Sspon.05G0006690-2B,,
Sspon.05G0006700,Sobic.006G155100,Sspon.05G0006700-1A,Sspon.05G0006700-2B,Sspon.05G0006700-3C,
Sspon.05G0006710,,Sspon.05G0006710-1A,,,
Sspon.05G0006720,Sobic.006G155500,Sspon.05G0006720-1A,Sspon.05G0006720-2B,Sspon.05G0006720-3C,Sspon.05G0006720-4D
Sspon.05G0006730,,Sspon.05G0006730-1A,,,
Sspon.05G0006740,,Sspon.05G0006740-1A,,,
Sspon.05G0006750,Sobic.006G152500,Sspon.05G0006750-1A,Sspon.05G0006750-2B|Sspon.05G0006750-1P,Sspon.05G0006750-3C,Sspon.05G0006750-4D|Sspon.05G0006750-2P
Sspon.05G0006760,Sobic.004G224400,Sspon.05G0006760-1A,Sspon.05G0006760-2B|Sspon.05G0006760-1P,Sspon.05G0006760-3C|Sspon.05G0006760-2P,Sspon.05G0006760-4D|Sspon.05G0006760-3P
Sspon.05G0006770,Sobic.006G152900,Sspon.05G0006770-1A,Sspon.05G0006770-2B,Sspon.05G0006770-3C,
Sspon.05G0006780,Sobic.006G152900,Sspon.05G0006780-1A|Sspon.05G0006780-1P,Sspon.05G0006780-2B,,
Sspon.05G0006790,Sobic.006G153900,Sspon.05G0006790-1A|Sspon.05G0006790-1P,Sspon.05G0006790-2B,Sspon.05G0006790-3C,Sspon.05G0006790-4D
Sspon.05G0006800,Sobic.006G154300,Sspon.05G0006800-1A,,Sspon.05G0006800-2C,Sspon.05G0006800-3D
Sspon.05G0006810,Sobic.006G154800,Sspon.05G0006810-1A,,,Sspon.05G0006810-2D
Sspon.05G0006820,Sobic.006G154900,Sspon.05G0006820-1A,Sspon.05G0006820-2B,Sspon.05G0006820-3C,
Sspon.05G0006830,Sobic.006G154200,Sspon.05G0006830-1A,,Sspon.05G0006830-2C,
Sspon.05G0006840,Sobic.006G154100,Sspon.05G0006840-1A,Sspon.05G0006840-2B,Sspon.05G0006840-3C,Sspon.05G0006840-4D
Sspon.05G0006850,Sobic.006G153500,Sspon.05G0006850-1A,Sspon.05G0006850-2B,Sspon.05G0006850-3C,Sspon.05G0006850-4D
Sspon.05G0006860,Sobic.006G153400,Sspon.05G0006860-1A,Sspon.05G0006860-2B,Sspon.05G0006860-3C,Sspon.05G0006860-4D
Sspon.05G0006870,Sobic.006G153300,Sspon.05G0006870-1A,Sspon.05G0006870-2B,,Sspon.05G0006870-3D
Sspon.05G0006880,Sobic.006G155700,Sspon.05G0006880-1A,Sspon.05G0006880-2B,Sspon.05G0006880-3C,Sspon.05G0006880-4D
Sspon.05G0006890,Sobic.006G155600,Sspon.05G0006890-1A,Sspon.05G0006890-2B,,Sspon.05G0006890-3D
Sspon.05G0006900,Sobic.006G151300,Sspon.05G0006900-1A|Sspon.05G0006900-1P,,Sspon.05G0006900-2C,
Sspon.05G0006910,Sobic.006G150200,Sspon.05G0006910-1A,Sspon.05G0006910-2B,Sspon.05G0006910-3C,Sspon.05G0006910-4D
Sspon.05G0006920,Sobic.006G150300,Sspon.05G0006920-1A,Sspon.05G0006920-2B,,
Sspon.05G0006930,Sobic.006G150400,Sspon.05G0006930-1A,Sspon.05G0006930-2B,,
Sspon.05G0006940,,Sspon.05G0006940-1A,,,
Sspon.05G0006950,Sobic.006G150800,Sspon.05G0006950-1A,Sspon.05G0006950-2B,Sspon.05G0006950-3C,
Sspon.05G0006960,,Sspon.05G0006960-1A,,,
Sspon.05G0006970,Sobic.006G151200,Sspon.05G0006970-1A,Sspon.05G0006970-2B,Sspon.05G0006970-3C,Sspon.05G0006970-4D
Sspon.05G0006980,Sobic.006G151100,Sspon.05G0006980-1A,,Sspon.05G0006980-2C,Sspon.05G0006980-3D
Sspon.05G0006990,Sobic.006G149600,Sspon.05G0006990-1A,Sspon.05G0006990-2B,Sspon.05G0006990-3C,
Sspon.05G0007000,Sobic.006G149200,Sspon.05G0007000-1A,Sspon.05G0007000-2B,Sspon.05G0007000-3C|Sspon.05G0007000-1P|Sspon.05G0007000-2P,Sspon.05G0007000-4D
Sspon.05G0007010,Sobic.006G148800,Sspon.05G0007010-1A,Sspon.05G0007010-2B,Sspon.05G0007010-3C,Sspon.05G0007010-4D
Sspon.05G0007020,Sobic.006G148400,Sspon.05G0007020-1A,Sspon.05G0007020-2B,Sspon.05G0007020-3C,Sspon.05G0007020-4D
Sspon.05G0007030,,Sspon.05G0007030-1A,,,
Sspon.05G0007040,Sobic.006G148200,Sspon.05G0007040-1A,Sspon.05G0007040-2B,Sspon.05G0007040-3C,Sspon.05G0007040-4D
Sspon.05G0007050,Sobic.006G147300,Sspon.05G0007050-1A,Sspon.05G0007050-2B,Sspon.05G0007050-3C,Sspon.05G0007050-4D
Sspon.05G0007060,Sobic.006G147200,Sspon.05G0007060-1A,Sspon.05G0007060-2B,Sspon.05G0007060-3C,Sspon.05G0007060-4D
Sspon.05G0007070,Sobic.006G147000,Sspon.05G0007070-1A,Sspon.05G0007070-2B,Sspon.05G0007070-3C,Sspon.05G0007070-4D
Sspon.05G0007080,Sobic.006G146800,Sspon.05G0007080-1A,Sspon.05G0007080-2B,,
Sspon.05G0007090,Sobic.006G146700,Sspon.05G0007090-1A|Sspon.05G0007090-1T,Sspon.05G0007090-2B|Sspon.05G0007090-1P,,Sspon.05G0007090-3D
Sspon.05G0007100,Sobic.006G146500,Sspon.05G0007100-1A,Sspon.05G0007100-2B|Sspon.05G0007100-1P,,
Sspon.05G0007110,Sobic.006G146400,Sspon.05G0007110-1A,Sspon.05G0007110-2B,Sspon.05G0007110-3C,Sspon.05G0007110-4D
Sspon.05G0007120,Sobic.006G146300,Sspon.05G0007120-1A,Sspon.05G0007120-2B,,Sspon.05G0007120-3D
Sspon.05G0007130,Sobic.006G146100,Sspon.05G0007130-1A,Sspon.05G0007130-2B,Sspon.05G0007130-3C,Sspon.05G0007130-4D
Sspon.05G0007140,Sobic.006G146000,Sspon.05G0007140-1A,Sspon.05G0007140-2B,Sspon.05G0007140-3C|Sspon.05G0007140-1T,
Sspon.05G0007150,Sobic.006G145700,Sspon.05G0007150-1A,,,Sspon.05G0007150-2D
Sspon.05G0007160,Sobic.006G145300,Sspon.05G0007160-1A,Sspon.05G0007160-2B,Sspon.05G0007160-3C,Sspon.05G0007160-4D
Sspon.05G0007170,Sobic.006G145200,Sspon.05G0007170-1A|Sspon.05G0007170-1P,Sspon.05G0007170-2B,Sspon.05G0007170-3C|Sspon.05G0007170-2P,Sspon.05G0007170-4D
Sspon.05G0007180,,Sspon.05G0007180-1A,,,
Sspon.05G0007190,Sobic.006G144900,Sspon.05G0007190-1A,,Sspon.05G0007190-2C,
Sspon.05G0007200,,Sspon.05G0007200-1A,,,
Sspon.05G0007210,Sobic.006G144800,Sspon.05G0007210-1A,,Sspon.05G0007210-2C,Sspon.05G0007210-3D
Sspon.05G0007220,Sobic.006G144101,Sspon.05G0007220-1A,Sspon.05G0007220-2B,,Sspon.05G0007220-3D
Sspon.05G0007230,Sobic.006G143600,Sspon.05G0007230-1A,Sspon.05G0007230-2B,,
Sspon.05G0007240,Sobic.006G143900,Sspon.05G0007240-1A,Sspon.05G0007240-2B,Sspon.05G0007240-3C,Sspon.05G0007240-4D
Sspon.05G0007250,Sobic.006G143500,Sspon.05G0007250-1A|Sspon.05G0007250-1P,Sspon.05G0007250-2B,Sspon.05G0007250-3C|Sspon.05G0007250-2P,Sspon.05G0007250-4D
Sspon.05G0007260,Sobic.006G143300,Sspon.05G0007260-1A,Sspon.05G0007260-2B,,
Sspon.05G0007270,Sobic.006G143400,Sspon.05G0007270-1A,Sspon.05G0007270-2B,Sspon.05G0007270-3C|Sspon.05G0007270-1P,Sspon.05G0007270-4D
Sspon.05G0007280,Sobic.006G143200,Sspon.05G0007280-1A|Sspon.05G0007280-1P,Sspon.05G0007280-2B,Sspon.05G0007280-3C,Sspon.05G0007280-4D
Sspon.05G0007290,Sobic.006G142700,Sspon.05G0007290-1A,Sspon.05G0007290-2B,Sspon.05G0007290-3C,Sspon.05G0007290-4D
Sspon.05G0007300,Sobic.006G142600,Sspon.05G0007300-1A,Sspon.05G0007300-2B,Sspon.05G0007300-3C,Sspon.05G0007300-4D
Sspon.05G0007310,Sobic.006G142500,Sspon.05G0007310-1A,Sspon.05G0007310-2B,Sspon.05G0007310-3C,
Sspon.05G0007320,Sobic.007G069101,Sspon.05G0007320-1A,Sspon.05G0007320-2B,,
Sspon.05G0007330,Sobic.006G142400,Sspon.05G0007330-1A,Sspon.05G0007330-2B,Sspon.05G0007330-3C,Sspon.05G0007330-4D
Sspon.05G0007340,,Sspon.05G0007340-1A,,,
Sspon.05G0007350,Sobic.006G142200,Sspon.05G0007350-1A,,Sspon.05G0007350-2C,
Sspon.05G0007360,Sobic.006G141800,Sspon.05G0007360-1A,,,Sspon.05G0007360-2D
Sspon.05G0007370,Sobic.006G093500,Sspon.05G0007370-1A,,,Sspon.05G0007370-2D
Sspon.05G0007380,Sobic.006G141700,Sspon.05G0007380-1A|Sspon.05G0007380-1P,,Sspon.05G0007380-2C,Sspon.05G0007380-3D
Sspon.05G0007390,Sobic.006G141600,Sspon.05G0007390-1A,Sspon.05G0007390-2B,,
Sspon.05G0007400,Sobic.006G141500,Sspon.05G0007400-1A,Sspon.05G0007400-2B,Sspon.05G0007400-3C,
Sspon.05G0007410,Sobic.006G141100,Sspon.05G0007410-1A,Sspon.05G0007410-2B,,
Sspon.05G0007420,Sobic.006G141000,Sspon.05G0007420-1A|Sspon.05G0007420-1P,Sspon.05G0007420-2B,Sspon.05G0007420-3C,
Sspon.05G0007430,Sobic.006G140900,Sspon.05G0007430-1A,Sspon.05G0007430-2B,Sspon.05G0007430-3C,
Sspon.05G0007440,Sobic.006G140700,Sspon.05G0007440-1A,Sspon.05G0007440-2B,Sspon.05G0007440-3C,
Sspon.05G0007450,Sobic.006G140600,Sspon.05G0007450-1A,Sspon.05G0007450-2B,Sspon.05G0007450-3C|Sspon.05G0007450-1T,Sspon.05G0007450-4D
Sspon.05G0007460,,Sspon.05G0007460-1A,Sspon.05G0007460-2B,,Sspon.05G0007460-3D
Sspon.05G0007470,,Sspon.05G0007470-1A,,,Sspon.05G0007470-2D
Sspon.05G0007480,Sobic.006G140500,Sspon.05G0007480-1A,Sspon.05G0007480-2B,Sspon.05G0007480-3C,Sspon.05G0007480-4D
Sspon.05G0007490,Sobic.006G140400,Sspon.05G0007490-1A,,,Sspon.05G0007490-2D
Sspon.05G0007500,Sobic.006G140300,Sspon.05G0007500-1A,Sspon.05G0007500-2B,Sspon.05G0007500-3C|Sspon.05G0007500-1T,Sspon.05G0007500-4D
Sspon.05G0007510,,Sspon.05G0007510-1A,,,
Sspon.05G0007520,Sobic.006G139300,Sspon.05G0007520-1A,Sspon.05G0007520-2B,Sspon.05G0007520-3C|Sspon.05G0007520-1T,Sspon.05G0007520-4D
Sspon.05G0007530,Sobic.006G139100,Sspon.05G0007530-1A,Sspon.05G0007530-2B,Sspon.05G0007530-3C|Sspon.05G0007530-1P,Sspon.05G0007530-4D|Sspon.05G0007530-2P
Sspon.05G0007540,,Sspon.05G0007540-1A,,,
Sspon.05G0007550,Sobic.006G139000,Sspon.05G0007550-1A,Sspon.05G0007550-2B,Sspon.05G0007550-3C,Sspon.05G0007550-4D|Sspon.05G0007550-1P
Sspon.05G0007560,Sobic.006G138900,Sspon.05G0007560-1A,Sspon.05G0007560-2B|Sspon.05G0007560-1T,Sspon.05G0007560-3C,Sspon.05G0007560-4D
Sspon.05G0007570,Sobic.006G138800,Sspon.05G0007570-1A,Sspon.05G0007570-2B,Sspon.05G0007570-3C,
Sspon.05G0007580,Sobic.006G138600,Sspon.05G0007580-1A,Sspon.05G0007580-2B,,Sspon.05G0007580-3D
Sspon.05G0007590,Sobic.006G138500,Sspon.05G0007590-1A,Sspon.05G0007590-2B,,
Sspon.05G0007600,Sobic.006G138400,Sspon.05G0007600-1A,Sspon.05G0007600-2B,Sspon.05G0007600-3C|Sspon.05G0007600-1P,Sspon.05G0007600-4D
Sspon.05G0007610,Sobic.006G138300,Sspon.05G0007610-1A,Sspon.05G0007610-2B,Sspon.05G0007610-3C,Sspon.05G0007610-4D
Sspon.05G0007620,Sobic.006G138000,Sspon.05G0007620-1A,,,Sspon.05G0007620-2D
Sspon.05G0007630,Sobic.004G213200,Sspon.05G0007630-1A,,Sspon.05G0007630-2C,
Sspon.05G0007640,Sobic.006G137400,Sspon.05G0007640-1A,,Sspon.05G0007640-2C|Sspon.05G0007640-1T,
Sspon.05G0007650,,Sspon.05G0007650-1A,,,
Sspon.05G0007660,Sobic.006G137600,Sspon.05G0007660-1A,Sspon.05G0007660-2B|Sspon.05G0007660-1T,,
Sspon.05G0007670,Sobic.004G212900,Sspon.05G0007670-1A,Sspon.05G0007670-2B|Sspon.05G0007670-1P,Sspon.05G0007670-3C,
Sspon.05G0007680,Sobic.006G131500,Sspon.05G0007680-1A,,Sspon.05G0007680-2C,
Sspon.05G0007690,Sobic.004G208400,Sspon.05G0007690-1A,,Sspon.05G0007690-2C|Sspon.05G0007690-1P,Sspon.05G0007690-3D
Sspon.05G0007700,,Sspon.05G0007700-1A,,,
Sspon.05G0007710,Sobic.006G132200,Sspon.05G0007710-1A,,,Sspon.05G0007710-2D
Sspon.05G0007720,Sobic.006G130700,Sspon.05G0007720-1A,,Sspon.05G0007720-2C,
Sspon.05G0007730,Sobic.006G130600,Sspon.05G0007730-1A,,Sspon.05G0007730-2C,
Sspon.05G0007740,,Sspon.05G0007740-1A,,,
Sspon.05G0007750,Sobic.006G136500,Sspon.05G0007750-1A,Sspon.05G0007750-2B,Sspon.05G0007750-3C,Sspon.05G0007750-4D
Sspon.05G0007760,Sobic.006G135900,Sspon.05G0007760-1A,,Sspon.05G0007760-2C,
Sspon.05G0007770,Sobic.006G136000,Sspon.05G0007770-1A,,,Sspon.05G0007770-2D
Sspon.05G0007780,Sobic.006G136400,Sspon.05G0007780-1A,,Sspon.05G0007780-2C,Sspon.05G0007780-3D|Sspon.05G0007780-1P
Sspon.05G0007790,Sobic.006G136200,Sspon.05G0007790-1A,,,Sspon.05G0007790-2D|Sspon.05G0007790-1P
Sspon.05G0007800,Sobic.006G135800,Sspon.05G0007800-1A,,,Sspon.05G0007800-2D
Sspon.05G0007810,,Sspon.05G0007810-1A,,,
Sspon.05G0007820,Sobic.006G135701,Sspon.05G0007820-1A,,,Sspon.05G0007820-2D
Sspon.05G0007830,Sobic.006G135600,Sspon.05G0007830-1A,,,Sspon.05G0007830-2D
Sspon.05G0007840,Sobic.006G135300,Sspon.05G0007840-1A,Sspon.05G0007840-2B,,Sspon.05G0007840-3D|Sspon.05G0007840-1T
Sspon.05G0007850,Sobic.006G135200,Sspon.05G0007850-1A|Sspon.05G0007850-1T,Sspon.05G0007850-2B,,Sspon.05G0007850-3D
Sspon.05G0007860,Sobic.006G135000,Sspon.05G0007860-1A,,Sspon.05G0007860-2C,Sspon.05G0007860-3D
Sspon.05G0007870,Sobic.006G134800,Sspon.05G0007870-1A,Sspon.05G0007870-2B,Sspon.05G0007870-3C,Sspon.05G0007870-4D
Sspon.05G0007880,Sobic.006G134700,Sspon.05G0007880-1A,Sspon.05G0007880-2B|Sspon.05G0007880-1T,Sspon.05G0007880-3C,Sspon.05G0007880-4D
Sspon.05G0007890,,Sspon.05G0007890-1A,,,
Sspon.05G0007900,Sobic.006G134400,Sspon.05G0007900-1A,Sspon.05G0007900-2B,Sspon.05G0007900-3C,Sspon.05G0007900-4D|Sspon.05G0007900-1P
Sspon.05G0007910,,Sspon.05G0007910-1A,,,
Sspon.05G0007920,,Sspon.05G0007920-1A,,,
Sspon.05G0007930,Sobic.006G134001,Sspon.05G0007930-1A,Sspon.05G0007930-2B,,Sspon.05G0007930-3D
Sspon.05G0007940,Sobic.006G133900,Sspon.05G0007940-1A,Sspon.05G0007940-2B,Sspon.05G0007940-3C,Sspon.05G0007940-4D
Sspon.05G0007950,Sobic.006G133800,Sspon.05G0007950-1A,Sspon.05G0007950-2B,Sspon.05G0007950-3C,Sspon.05G0007950-4D
Sspon.05G0007960,Sobic.006G132800,Sspon.05G0007960-1A,Sspon.05G0007960-2B,Sspon.05G0007960-3C,Sspon.05G0007960-4D|Sspon.05G0007960-1P|Sspon.05G0007960-2P
Sspon.05G0007970,Sobic.006G133700,Sspon.05G0007970-1A,,Sspon.05G0007970-2C|Sspon.05G0007970-1T,Sspon.05G0007970-3D
Sspon.05G0007980,Sobic.006G133600,Sspon.05G0007980-1A,,Sspon.05G0007980-2C,
Sspon.05G0007990,,Sspon.05G0007990-1A,,,
Sspon.05G0008000,Sobic.006G128100,Sspon.05G0008000-1A,Sspon.05G0008000-2B,Sspon.05G0008000-3C,Sspon.05G0008000-4D
Sspon.05G0008010,Sobic.006G128200,Sspon.05G0008010-1A,Sspon.05G0008010-2B,Sspon.05G0008010-3C,Sspon.05G0008010-4D
Sspon.05G0008020,Sobic.006G128300,Sspon.05G0008020-1A,Sspon.05G0008020-2B,,Sspon.05G0008020-3D
Sspon.05G0008030,Sobic.006G128500,Sspon.05G0008030-1A,Sspon.05G0008030-2B,Sspon.05G0008030-3C,
Sspon.05G0008040,,Sspon.05G0008040-1A,,,
Sspon.05G0008050,Sobic.006G128700,Sspon.05G0008050-1A,Sspon.05G0008050-2B,Sspon.05G0008050-3C,Sspon.05G0008050-4D
Sspon.05G0008060,Sobic.006G128800,Sspon.05G0008060-1A,Sspon.05G0008060-2B,,
Sspon.05G0008070,,Sspon.05G0008070-1A,,,
Sspon.05G0008080,,Sspon.05G0008080-1A,,,
Sspon.05G0008090,Sobic.006G128900,Sspon.05G0008090-1A,Sspon.05G0008090-2B,,
Sspon.05G0008100,,Sspon.05G0008100-1A,Sspon.05G0008100-2B,,
Sspon.05G0008110,Sobic.006G129000,Sspon.05G0008110-1A,Sspon.05G0008110-2B,Sspon.05G0008110-3C,Sspon.05G0008110-4D
